bus_10001,bus_10022,bus_10025,bus_10033,bus_10035,bus_10093,bus_10228,bus_10344,bus_10525,bus_10558,bus_10570,bus_10600,bus_10609,bus_10677,bus_10750,bus_10860,bus_11016,bus_13000,bus_13175,bus_13366,bus_13420,bus_13446,bus_13504,bus_20000,bus_20007,bus_20026,bus_20136,bus_20490,bus_21121,bus_21140,bus_21165,bus_21597,bus_21647,bus_23017,bus_23054,bus_23060,bus_23230,bus_23263,bus_23377,bus_25160,bus_25289,bus_25375,bus_25385,bus_25400,bus_25403,bus_25439,bus_25595,bus_25598,bus_25618,bus_25675,bus_25714,bus_25730,bus_25830,bus_26100,bus_26116,bus_26133,bus_26163,bus_26201,bus_28060,bus_28078,bus_28099,bus_28122,bus_28302,bus_28365,bus_28401,bus_28474,bus_28549,bus_28667,bus_30001,bus_30124,bus_30144,bus_30146,bus_30172,bus_30174,bus_30182,bus_30205,bus_30207,bus_30220,bus_30221,bus_30374,bus_40001,bus_40003,bus_40004,bus_40006,bus_40007,bus_40008,bus_40050,bus_40145,bus_40160,bus_40162,bus_40168,bus_40169,bus_40279,bus_40281,bus_40299,bus_40309,bus_40310,bus_40367,bus_40369,bus_40391,bus_40518,bus_40519,bus_40535,bus_40595,bus_40602,bus_40691,bus_40787,bus_40829,bus_40844,bus_40881,bus_40917,bus_40961,bus_40994,bus_50000,bus_50007,bus_50024,bus_50099,bus_50196,bus_50316,bus_50385,bus_50399,bus_53000,bus_53002,bus_53012,bus_53217,bus_53297,bus_60000,bus_60003,bus_60194,bus_60514,bus_60577,bus_60663,bus_70000,bus_70016,bus_70063,bus_70098,bus_70155,bus_70172,bus_74001,bus_74053,bus_74104,bus_74132,bus_74235,bus_77001,bus_77173,bus_77261,bus_80007,bus_80046,bus_80047,bus_80050
0.0,0.0,0.0,1270.5584783783781,0.0,28097.01395379708,14374.938789079813,1008.9774726015849,0.0,1246.762734025957,191.70632553075671,0.0,0.0,3268.595053788451,47520.46881895974,0.0,69710.11145231241,853.560969482289,0.0,3521.412497311858,0.0,24694.68339568316,88480.17505490447,0.0,470.83674959128064,1353.5580944143949,9258.909898901176,0.0,0.0,0.0,0.0,62.208028652656196,0.0,0.0,1601.0385601685985,1001.7154191780819,3462.031254339614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.59302501707452,204.82792856069142,0.0,0.0,232.98332004880854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5796.483416628806,0.0,0.0,0.0,0.0,39.27372899589094,703.0756746933213,0.0,2369.537941844616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419.5699503180285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.4318109558026,0.0,5.268852324145361,2691.016847491301,1294.2470316853237,0.0,0.0,0.0,0.0,0.0,34.53301055762082,702.9424682417418,208.62125582213628,721.2647587477043,510.1935525938183,27.74186493529997,0.0,354.05497610087065,2223.49213702136,0.0,0.0,1539.4541934926592,0.0,247.4720349367089,2767.7456480297164,1732.1062240507067,1514.1294854316368,816.9073070848871,16772.969242891202,0.0,0.0,6515.798992220332,119.00464845173042,0.0,0.0,0.0
0.0,0.0,0.0,1270.5584783783781,0.0,28097.01395379708,14374.938789079813,1008.9774726015849,0.0,1246.762734025957,191.70632553075671,0.0,0.0,3268.595053788451,47520.46881895974,0.0,69710.11145231241,853.560969482289,0.0,3521.412497311858,0.0,24694.68339568316,88480.17505490447,0.0,470.83674959128064,1353.5580944143949,9258.909898901176,0.0,0.0,0.0,0.0,62.208028652656196,0.0,0.0,1601.0385601685985,1001.7154191780819,3462.031254339614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.59302501707452,204.82792856069142,0.0,0.0,232.98332004880854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5796.483416628806,0.0,0.0,0.0,0.0,39.27372899589094,703.0756746933213,0.0,2369.537941844616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419.5699503180285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.4318109558026,0.0,5.268852324145361,2691.016847491301,1294.2470316853237,0.0,0.0,0.0,0.0,0.0,34.53301055762082,702.9424682417418,208.62125582213628,721.2647587477043,510.1935525938183,27.74186493529997,0.0,354.05497610087065,2223.49213702136,0.0,0.0,1539.4541934926592,0.0,247.4720349367089,2767.7456480297164,1732.1062240507067,1514.1294854316368,816.9073070848871,16772.969242891202,0.0,0.0,6515.798992220332,119.00464845173042,0.0,0.0,0.0
0.0,0.0,0.0,1270.5584783783781,0.0,28097.01395379708,14374.938789079813,1008.9774726015849,0.0,1246.762734025957,191.70632553075671,0.0,0.0,3268.595053788451,47520.46881895974,0.0,69710.11145231241,853.560969482289,0.0,3521.412497311858,0.0,24694.68339568316,88480.17505490447,0.0,470.83674959128064,1353.5580944143949,9258.909898901176,0.0,0.0,0.0,0.0,62.208028652656196,0.0,0.0,1601.0385601685985,1001.7154191780819,3462.031254339614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.59302501707452,204.82792856069142,0.0,0.0,232.98332004880854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5796.483416628806,0.0,0.0,0.0,0.0,39.27372899589094,703.0756746933213,0.0,2369.537941844616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419.5699503180285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.4318109558026,0.0,5.268852324145361,2691.016847491301,1294.2470316853237,0.0,0.0,0.0,0.0,0.0,34.53301055762082,702.9424682417418,208.62125582213628,721.2647587477043,510.1935525938183,27.74186493529997,0.0,354.05497610087065,2223.49213702136,0.0,0.0,1539.4541934926592,0.0,247.4720349367089,2767.7456480297164,1732.1062240507067,1514.1294854316368,816.9073070848871,16772.969242891202,0.0,0.0,6515.798992220332,119.00464845173042,0.0,0.0,0.0
0.0,0.0,0.0,1270.5584783783781,0.0,28097.01395379708,14374.938789079813,1008.9774726015849,0.0,1246.762734025957,191.70632553075671,0.0,0.0,3268.595053788451,47520.46881895974,0.0,69710.11145231241,853.560969482289,0.0,3521.412497311858,0.0,24694.68339568316,88480.17505490447,0.0,470.83674959128064,1353.5580944143949,9258.909898901176,0.0,0.0,0.0,0.0,62.208028652656196,0.0,0.0,1601.0385601685985,1001.7154191780819,3462.031254339614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.59302501707452,204.82792856069142,0.0,0.0,232.98332004880854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5796.483416628806,0.0,0.0,0.0,0.0,39.27372899589094,703.0756746933213,0.0,2369.537941844616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419.5699503180285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.4318109558026,0.0,5.268852324145361,2691.016847491301,1294.2470316853237,0.0,0.0,0.0,0.0,0.0,34.53301055762082,702.9424682417418,208.62125582213628,721.2647587477043,510.1935525938183,27.74186493529997,0.0,354.05497610087065,2223.49213702136,0.0,0.0,1539.4541934926592,0.0,247.4720349367089,2767.7456480297164,1732.1062240507067,1514.1294854316368,816.9073070848871,16772.969242891202,0.0,0.0,6515.798992220332,119.00464845173042,0.0,0.0,0.0
0.0,0.0,0.0,1270.5584783783781,0.0,28097.01395379708,14374.938789079813,1008.9774726015849,0.0,1246.762734025957,191.70632553075671,0.0,0.0,3268.595053788451,47520.46881895974,0.0,69710.11145231241,853.560969482289,0.0,3521.412497311858,0.0,24694.68339568316,88480.17505490447,0.0,470.83674959128064,1353.5580944143949,9258.909898901176,0.0,0.0,0.0,0.0,62.208028652656196,0.0,0.0,1601.0385601685985,1001.7154191780819,3462.031254339614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.59302501707452,204.82792856069142,0.0,0.0,232.98332004880854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5796.483416628806,0.0,0.0,0.0,0.0,39.27372899589094,703.0756746933213,0.0,2369.537941844616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419.5699503180285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.4318109558026,0.0,5.268852324145361,2691.016847491301,1294.2470316853237,0.0,0.0,0.0,0.0,0.0,34.53301055762082,702.9424682417418,208.62125582213628,721.2647587477043,510.1935525938183,27.74186493529997,0.0,354.05497610087065,2223.49213702136,0.0,0.0,1539.4541934926592,0.0,247.4720349367089,2767.7456480297164,1732.1062240507067,1514.1294854316368,816.9073070848871,16772.969242891202,0.0,0.0,6515.798992220332,119.00464845173042,0.0,0.0,0.0
0.0,0.0,0.0,1270.5584783783781,0.0,28097.01395379708,14374.938789079813,1008.9774726015849,0.0,1246.762734025957,191.70632553075671,0.0,0.0,3268.595053788451,47520.46881895974,0.0,69710.11145231241,853.560969482289,0.0,3521.412497311858,0.0,24694.68339568316,88480.17505490447,0.0,470.83674959128064,1353.5580944143949,9258.909898901176,0.0,0.0,0.0,0.0,62.208028652656196,0.0,0.0,1601.0385601685985,1001.7154191780819,3462.031254339614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.59302501707452,204.82792856069142,0.0,0.0,232.98332004880854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5796.483416628806,0.0,0.0,0.0,0.0,39.27372899589094,703.0756746933213,0.0,2369.537941844616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419.5699503180285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.4318109558026,0.0,5.268852324145361,2691.016847491301,1294.2470316853237,0.0,0.0,0.0,0.0,0.0,34.53301055762082,702.9424682417418,208.62125582213628,721.2647587477043,510.1935525938183,27.74186493529997,0.0,354.05497610087065,2223.49213702136,0.0,0.0,1539.4541934926592,0.0,247.4720349367089,2767.7456480297164,1732.1062240507067,1514.1294854316368,816.9073070848871,16772.969242891202,0.0,0.0,6515.798992220332,119.00464845173042,0.0,0.0,0.0
0.0,0.0,0.0,1270.5584783783781,0.0,28097.01395379708,14374.938789079813,1008.9774726015849,0.0,1246.762734025957,191.70632553075671,0.0,0.0,3268.595053788451,47520.46881895974,0.0,69710.11145231241,853.560969482289,0.0,3521.412497311858,0.0,24694.68339568316,88480.17505490447,0.0,470.83674959128064,1353.5580944143949,9258.909898901176,0.0,0.0,0.0,0.0,62.208028652656196,0.0,0.0,1601.0385601685985,1001.7154191780819,3462.031254339614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.59302501707452,204.82792856069142,0.0,0.0,232.98332004880854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5796.483416628806,0.0,0.0,0.0,0.0,39.27372899589094,703.0756746933213,0.0,2369.537941844616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6419.5699503180285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.4318109558026,0.0,5.268852324145361,2691.016847491301,1294.2470316853237,0.0,0.0,0.0,0.0,0.0,34.53301055762082,702.9424682417418,208.62125582213628,721.2647587477043,510.1935525938183,27.74186493529997,0.0,354.05497610087065,2223.49213702136,0.0,0.0,1539.4541934926592,0.0,247.4720349367089,2767.7456480297164,1732.1062240507067,1514.1294854316368,816.9073070848871,16772.969242891202,0.0,0.0,6515.798992220332,119.00464845173042,0.0,0.0,0.0
0.0,0.0,0.0,1323.687297297297,0.0,28701.468112867937,13149.275596259038,920.6536087385891,0.0,1416.9291003324024,178.6574075744615,0.0,0.0,3145.5250296147997,54006.37450366781,0.0,77873.14579633076,979.4032670786298,0.0,5951.398500707044,0.0,24759.56447106484,96879.98344269425,0.0,540.2532066222265,2934.4565065177035,18864.28287243399,0.0,0.0,0.0,0.0,77.69531572873612,0.0,0.0,1823.631931416529,1140.9845272015657,3902.608133885702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.865129516416516,223.96689156812872,0.0,0.0,327.27200363882554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6346.557863308886,0.0,0.0,0.0,0.0,40.81928068211987,769.7961213734015,0.0,2594.4022567339525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11512.684951199557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.4564313065123,0.0,7.497897437678069,2601.022947239203,1301.9583552771855,0.0,0.0,0.0,0.0,0.0,41.51180711630377,881.526386827167,189.6400917568749,927.8209459975624,781.9812261887834,42.520367904649866,0.0,398.23293697686506,2134.2821181499867,0.0,0.0,1570.1476120169086,0.0,252.4105012658228,2703.408771640827,1666.8884924696167,1453.3802173231334,732.3029455081003,16141.428872726969,0.0,0.0,6149.272137786719,105.13568566224305,0.0,0.0,0.0
0.0,0.0,0.0,1323.687297297297,0.0,28701.468112867937,13149.275596259038,920.6536087385891,0.0,1416.9291003324024,178.6574075744615,0.0,0.0,3145.5250296147997,54006.37450366781,0.0,77873.14579633076,979.4032670786298,0.0,5951.398500707044,0.0,24759.56447106484,96879.98344269425,0.0,540.2532066222265,2934.4565065177035,18864.28287243399,0.0,0.0,0.0,0.0,77.69531572873612,0.0,0.0,1823.631931416529,1140.9845272015657,3902.608133885702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.865129516416516,223.96689156812872,0.0,0.0,327.27200363882554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6346.557863308886,0.0,0.0,0.0,0.0,40.81928068211987,769.7961213734015,0.0,2594.4022567339525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11512.684951199557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.4564313065123,0.0,7.497897437678069,2601.022947239203,1301.9583552771855,0.0,0.0,0.0,0.0,0.0,41.51180711630377,881.526386827167,189.6400917568749,927.8209459975624,781.9812261887834,42.520367904649866,0.0,398.23293697686506,2134.2821181499867,0.0,0.0,1570.1476120169086,0.0,252.4105012658228,2703.408771640827,1666.8884924696167,1453.3802173231334,732.3029455081003,16141.428872726969,0.0,0.0,6149.272137786719,105.13568566224305,0.0,0.0,0.0
0.0,0.0,0.0,1323.687297297297,0.0,28701.468112867937,13149.275596259038,920.6536087385891,0.0,1416.9291003324024,178.6574075744615,0.0,0.0,3145.5250296147997,54006.37450366781,0.0,77873.14579633076,979.4032670786298,0.0,5951.398500707044,0.0,24759.56447106484,96879.98344269425,0.0,540.2532066222265,2934.4565065177035,18864.28287243399,0.0,0.0,0.0,0.0,77.69531572873612,0.0,0.0,1823.631931416529,1140.9845272015657,3902.608133885702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.865129516416516,223.96689156812872,0.0,0.0,327.27200363882554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6346.557863308886,0.0,0.0,0.0,0.0,40.81928068211987,769.7961213734015,0.0,2594.4022567339525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11512.684951199557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.4564313065123,0.0,7.497897437678069,2601.022947239203,1301.9583552771855,0.0,0.0,0.0,0.0,0.0,41.51180711630377,881.526386827167,189.6400917568749,927.8209459975624,781.9812261887834,42.520367904649866,0.0,398.23293697686506,2134.2821181499867,0.0,0.0,1570.1476120169086,0.0,252.4105012658228,2703.408771640827,1666.8884924696167,1453.3802173231334,732.3029455081003,16141.428872726969,0.0,0.0,6149.272137786719,105.13568566224305,0.0,0.0,0.0
