bus_100011,bus_100221,bus_100251,bus_100331,bus_100351,bus_100931,bus_102281,bus_105251,bus_105581,bus_105701,bus_106001,bus_106771,bus_107501,bus_110161,bus_130001,bus_133661,bus_134201,bus_134461,bus_135041,bus_200001,bus_200071,bus_200261,bus_201361,bus_211211,bus_216471,bus_230171,bus_230541,bus_230601,bus_232631,bus_233771,bus_251601,bus_252891,bus_253751,bus_254031,bus_254391,bus_255981,bus_256181,bus_256751,bus_257141,bus_258301,bus_261001,bus_261331,bus_280781,bus_280991,bus_281221,bus_283651,bus_285491,bus_286671,bus_300011,bus_301441,bus_301461,bus_302051,bus_302071,bus_302201,bus_302211,bus_303741,bus_400011,bus_400031,bus_400041,bus_400061,bus_400071,bus_400081,bus_400501,bus_401601,bus_401621,bus_402791,bus_402811,bus_403671,bus_403691,bus_405951,bus_406021,bus_406911,bus_407871,bus_408441,bus_409611,bus_409941,bus_500001,bus_500071,bus_500241,bus_501961,bus_503161,bus_530001,bus_530021,bus_530121,bus_600001,bus_600031,bus_601941,bus_605771,bus_700001,bus_700161,bus_700631,bus_701551,bus_740011,bus_740531,bus_741041,bus_741321,bus_742351,bus_770011,bus_771731,bus_800071
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
0.0,0.0,0.0,162.0,0.0,2874.3999999999996,1455.0,0.0,128.20000000000002,12.9,0.0,207.70000000000002,3925.4,9228.8,97.6,557.0999999999999,0.0,3365.9,8983.4,0.0,80.4,1409.8999999999999,3696.8999999999996,0.0,0.0,0.0,538.4,2411.1,0.0,0.0,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.900000000000006,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,2078.8,0.0,0.0,0.0,0.0,79.9,139.5,0.0,254.8,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,1312.0,0.0,0.0,0.0,0.0,75.0,0.0,385.59999999999997,166.20000000000002,0.0,0.0,0.0,38.0,362.0,172.1,0.0,199.8,0.0,210.8,0.0,267.5,132.0,120.8,246.10000000000002,2135.4,349.1,0.0,27.9
